nodenumber,    x-coordinate,    y-coordinate,water-liquid-vof
         1, 2.000000000E-03, 9.159596917E-03, 9.900000319E-01
         2, 1.870540325E-03, 9.300000069E-03, 9.900000095E-01
         3, 1.846583164E-03, 9.338299826E-03, 9.900000393E-01
         4, 1.806620751E-03, 9.450000100E-03, 9.900000095E-01
         5, 1.768170260E-03, 9.600000116E-03, 9.900000095E-01
         6, 1.739088955E-03, 9.750000127E-03, 9.899999797E-01
         7, 1.715446593E-03, 9.900000135E-03, 9.900000244E-01
         8, 1.695243467E-03, 1.005000014E-02, 9.900000319E-01
         9, 1.692764819E-03, 1.007050285E-02, 9.899999946E-01
        10, 1.667564388E-03, 1.020000015E-02, 9.899999946E-01
        11, 1.642790175E-03, 1.034999985E-02, 9.900000095E-01
        12, 1.621647641E-03, 1.049999985E-02, 9.899999499E-01
        13, 1.603213158E-03, 1.065000016E-02, 9.900000393E-01
        14, 1.586739138E-03, 1.080000016E-02, 9.900000095E-01
        15, 1.571866779E-03, 1.095000016E-02, 9.900000244E-01
        16, 1.558427338E-03, 1.110000016E-02, 9.900000095E-01
        17, 1.546272509E-03, 1.125000016E-02, 9.900000095E-01
        18, 1.538817766E-03, 1.135038704E-02, 9.899999797E-01
        19, 1.532313031E-03, 1.140000045E-02, 9.900000431E-01
        20, 1.514078780E-03, 1.154999981E-02, 9.899999797E-01
        21, 1.497401492E-03, 1.170000015E-02, 9.900000095E-01
        22, 1.481925041E-03, 1.185000015E-02, 9.899999797E-01
        23, 1.467500295E-03, 1.199999979E-02, 9.900000095E-01
        24, 1.454090104E-03, 1.215000015E-02, 9.900000095E-01
        25, 1.441644048E-03, 1.230000014E-02, 9.900000095E-01
        26, 1.430096495E-03, 1.245000014E-02, 9.900000095E-01
        27, 1.419381615E-03, 1.260000013E-02, 9.900000095E-01
        28, 1.409431759E-03, 1.275000012E-02, 9.900000393E-01
        29, 1.400174729E-03, 1.290000012E-02, 9.900000021E-01
        30, 1.391474551E-03, 1.305000011E-02, 9.900000170E-01
        31, 1.384872943E-03, 1.316917629E-02, 9.900000095E-01
        32, 1.381940801E-03, 1.320000040E-02, 9.900000468E-01
        33, 1.368116986E-03, 1.334999990E-02, 9.900000095E-01
        34, 1.355007753E-03, 1.350000009E-02, 9.899999946E-01
        35, 1.342600357E-03, 1.365000008E-02, 9.900000095E-01
        36, 1.330870976E-03, 1.380000049E-02, 9.900000095E-01
        37, 1.319792285E-03, 1.395000007E-02, 9.900000393E-01
        38, 1.309330880E-03, 1.410000048E-02, 9.900000393E-01
        39, 1.299447653E-03, 1.425000005E-02, 9.899999797E-01
