nodenumber,    x-coordinate,    y-coordinate,water-liquid-vof
         1, 2.000000060E-03, 9.141539204E-03, 9.900000356E-01
         2, 1.985505668E-03, 9.150000144E-03, 9.900000468E-01
         3, 1.854468784E-03, 9.300000077E-03, 9.900000133E-01
         4, 1.846583065E-03, 9.313355238E-03, 9.899999946E-01
         5, 1.799153920E-03, 9.450000104E-03, 9.900000095E-01
         6, 1.763227781E-03, 9.600000119E-03, 9.900000095E-01
         7, 1.736161393E-03, 9.750000129E-03, 9.900000095E-01
         8, 1.714457729E-03, 9.900000135E-03, 9.900000095E-01
         9, 1.696102873E-03, 1.005000014E-02, 9.899999872E-01
        10, 1.692764857E-03, 1.008015443E-02, 9.899999797E-01
        11, 1.669976446E-03, 1.020000000E-02, 9.899999797E-01
        12, 1.645649442E-03, 1.035000046E-02, 9.900000393E-01
        13, 1.624944194E-03, 1.050000016E-02, 9.900000393E-01
        14, 1.607112013E-03, 1.065000016E-02, 9.900000095E-01
        15, 1.591579670E-03, 1.080000016E-02, 9.900000095E-01
        16, 1.577712230E-03, 1.095000016E-02, 9.900000095E-01
        17, 1.565088742E-03, 1.110000016E-02, 9.900000095E-01
        18, 1.553594806E-03, 1.125000016E-02, 9.899999797E-01
        19, 1.543127630E-03, 1.140000015E-02, 9.899999928E-01
        20, 1.538818272E-03, 1.146648446E-02, 9.900000095E-01
        21, 1.528714457E-03, 1.154999998E-02, 9.899999872E-01
        22, 1.511979897E-03, 1.170000015E-02, 9.900000095E-01
        23, 1.496757978E-03, 1.185000015E-02, 9.900000393E-01
        24, 1.482863941E-03, 1.199999979E-02, 9.900000095E-01
        25, 1.470055707E-03, 1.214999978E-02, 9.899999797E-01
        26, 1.458104688E-03, 1.230000014E-02, 9.900000095E-01
        27, 1.446915376E-03, 1.245000013E-02, 9.900000095E-01
        28, 1.436463863E-03, 1.260000013E-02, 9.900000095E-01
        29, 1.426715839E-03, 1.275000012E-02, 9.899999797E-01
        30, 1.417627304E-03, 1.290000011E-02, 9.900000244E-01
        31, 1.409156991E-03, 1.305000011E-02, 9.899999946E-01
        32, 1.401260617E-03, 1.320000010E-02, 9.900000319E-01
        33, 1.393893593E-03, 1.335000009E-02, 9.899999872E-01
        34, 1.387019271E-03, 1.350000009E-02, 9.899999993E-01
        35, 1.384874451E-03, 1.354923762E-02, 9.900000095E-01
        36, 1.376863775E-03, 1.365000008E-02, 9.900000095E-01
        37, 1.365485423E-03, 1.380000007E-02, 9.900000095E-01
        38, 1.354615656E-03, 1.394999986E-02, 9.900000095E-01
        39, 1.344241426E-03, 1.409999964E-02, 9.900000095E-01
        40, 1.334361438E-03, 1.425000005E-02, 9.900000095E-01
        41, 1.324968700E-03, 1.440000004E-02, 9.900000393E-01
        42, 1.316057009E-03, 1.455000003E-02, 9.900000095E-01
        43, 1.307604489E-03, 1.470000002E-02, 9.900000095E-01
        44, 1.299593605E-03, 1.485000001E-02, 9.900000095E-01
        45, 1.292004314E-03, 1.500000000E-02, 9.900000095E-01
        46, 1.284812704E-03, 1.514999999E-02, 9.900000095E-01
        47, 1.278002046E-03, 1.529999998E-02, 9.900000393E-01
        48, 1.271547023E-03, 1.544999997E-02, 9.900000095E-01
        49, 1.265432908E-03, 1.559999996E-02, 9.900000244E-01
        50, 1.259632722E-03, 1.574999995E-02, 9.900000393E-01
        51, 1.254112053E-03, 1.589999994E-02, 9.900000095E-01
        52, 1.248825040E-03, 1.604999993E-02, 9.899999946E-01
        53, 1.243751971E-03, 1.619999992E-02, 9.900000319E-01
        54, 1.238884176E-03, 1.634999991E-02, 9.900000021E-01
        55, 1.234222983E-03, 1.649999989E-02, 9.899999853E-01
        56, 1.230934474E-03, 1.661001372E-02, 9.900000095E-01
        57, 1.228841814E-03, 1.664999948E-02, 9.899999965E-01
        58, 1.221209378E-03, 1.679999950E-02, 9.899999648E-01
        59, 1.213863807E-03, 1.694999973E-02, 9.900000319E-01
        60, 1.206805205E-03, 1.709999985E-02, 9.900000095E-01
        61, 1.200006640E-03, 1.725000009E-02, 9.900000542E-01
        62, 1.193458545E-03, 1.739999982E-02, 9.899999797E-01
        63, 1.187140634E-03, 1.754999981E-02, 9.900000095E-01
        64, 1.181033355E-03, 1.769999980E-02, 9.900000095E-01
        65, 1.175122696E-03, 1.784999978E-02, 9.900000393E-01
        66, 1.169398420E-03, 1.799999923E-02, 9.900000095E-01
        67, 1.163858000E-03, 1.814999974E-02, 9.900000095E-01
        68, 1.158504445E-03, 1.830000025E-02, 9.900000393E-01
        69, 1.153341068E-03, 1.844999967E-02, 9.900000095E-01
        70, 1.148368342E-03, 1.859999964E-02, 9.900000393E-01
        71, 1.143585380E-03, 1.874999960E-02, 9.899999797E-01
        72, 1.138980466E-03, 1.889999957E-02, 9.899999797E-01
        73, 1.134540073E-03, 1.904999954E-02, 9.900000095E-01
        74, 1.130258401E-03, 1.919999950E-02, 9.900000095E-01
        75, 1.126134103E-03, 1.934999947E-02, 9.899999797E-01
        76, 1.122167049E-03, 1.949999944E-02, 9.900000095E-01
        77, 1.118347429E-03, 1.964999941E-02, 9.899999797E-01
        78, 1.114675016E-03, 1.979999937E-02, 9.899999797E-01
        79, 1.111142733E-03, 1.994999934E-02, 9.900000244E-01
        80, 1.107749176E-03, 2.009999931E-02, 9.899999797E-01
        81, 1.104485996E-03, 2.024999928E-02, 9.899999797E-01
        82, 1.101345127E-03, 2.039999924E-02, 9.900000095E-01
        83, 1.098319236E-03, 2.054999921E-02, 9.899999946E-01
        84, 1.095396632E-03, 2.069999918E-02, 9.900000021E-01
        85, 1.092573059E-03, 2.084999915E-02, 9.900000021E-01
        86, 1.089838524E-03, 2.099999911E-02, 9.899999946E-01
        87, 1.087185143E-03, 2.114999908E-02, 9.900000319E-01
        88, 1.084605842E-03, 2.129999905E-02, 9.900000207E-01
        89, 1.082100070E-03, 2.144999902E-02, 9.900000244E-01
        90, 1.079660083E-03, 2.159999899E-02, 9.900000226E-01
        91, 1.077280100E-03, 2.174999895E-02, 9.900000150E-01
        92, 1.077002891E-03, 2.176777673E-02, 9.900000095E-01
        93, 1.073542429E-03, 2.189999945E-02, 9.900000468E-01
        94, 1.069696918E-03, 2.204999864E-02, 9.899999872E-01
        95, 1.065949850E-03, 2.219999869E-02, 9.900000244E-01
        96, 1.062284474E-03, 2.234999866E-02, 9.899999946E-01
        97, 1.058699616E-03, 2.249999829E-02, 9.900000095E-01
